glass_forming_category,composition
NR,Al12B10Co78
NR,Al16B10Co74
NR,Al20B10Co70
NR,Al20B14Co66
NR,Al24B22Co54
Ribbon,Al0B13Fe87
Ribbon,Al0B18Fe82
Ribbon,Al0B22Fe78
Ribbon,Al4B14Fe82
Ribbon,Al4B18Fe78
Ribbon,Al4B22Fe74
Ribbon,Al8B14Fe78
Ribbon,Al8B18Fe74
Ribbon,Al8B22Fe70
Ribbon,Al12B14Fe74
Ribbon,Al12B22Fe66
Ribbon,Al16B14Fe70
Ribbon,Al16B18Fe66
Ribbon,Al16B22Fe62
Ribbon,Al16B26Fe58
Ribbon,Al20B14Fe66
Ribbon,Al20B18Fe62
Ribbon,Al20B26Fe54
Ribbon,Al20B30Fe50
Ribbon,Al20B34Fe46
NR,Al4B10Fe86
NR,Al8B10Fe82
NR,Al12B6Fe82
NR,Al12B10Fe78
NR,Al16B10Fe74
Ribbon,Al0B18Ni82
Ribbon,Al0B30Ni70
Ribbon,Al0B34Ni66
Ribbon,Al0B38Ni62
Ribbon,Al0B40Ni60
Ribbon,Al0B42Ni58
Ribbon,Al4B18Ni78
Ribbon,Al4B22Ni74
Ribbon,Al4B26Ni70
Ribbon,Al4B30Ni66
Ribbon,Al4B34Ni62
Ribbon,Al4B38Ni58
Ribbon,Al4B42Ni54
Ribbon,Al8B18Ni74
Ribbon,Al8B22Ni70
Ribbon,Al8B26Ni66
Ribbon,Al8B30Ni62
Ribbon,Al8B34Ni58
Ribbon,Al8B38Ni54
Ribbon,Al8B42Ni50
Ribbon,Al12B18Ni70
Ribbon,Al12B22Ni66
Ribbon,Al12B26Ni62
Ribbon,Al12B30Ni58
Ribbon,Al12B34Ni54
Ribbon,Al16B18Ni66
Ribbon,Al16B22Ni62
Ribbon,Al16B26Ni58
Ribbon,Al16B30Ni54
Ribbon,Al16B34Ni50
Ribbon,Al16B38Ni46
Ribbon,Al20B18Ni62
Ribbon,Al20B22Ni58
Ribbon,Al20B26Ni54
Ribbon,Al20B30Ni50
Ribbon,Al20B34Ni46
Ribbon,Al20B40Ni40
Ribbon,Al24B26Ni50
NR,Al12B14Ni74
NR,Al24B14Ni62
NR,Al24B18Ni58
NR,Al24B22Ni54
NR,Al28B22Ni50
NR,Al0B22Ni78
NR,Al0B26Ni74
NR,Al16B14Ni70
NR,Al20B14Ni66
NR,Al28B30Ni42
Ribbon,Al85Ca10Co5
Ribbon,Al89Ca11Co0
Ribbon,Al90Ca10Co0
Ribbon,Al91Ca9Co0
Ribbon,Al85Ca10Cu5
Ribbon,Al89Ca11Cu0
Ribbon,Al90Ca10Cu0
Ribbon,Al91Ca9Cu0
Ribbon,Al87.5Ca7.5Fe5
Ribbon,Al90Ca7.5Fe2.5
Ribbon,Al89Ca11Fe0
Ribbon,Al91Ca9Fe0
NR,Al87.5Ca10Fe2.5
NR,Al92.5Ca2.5Fe5
NR,Al92.5Ca7.5Fe0
NR,Al90Ca5Fe5
Ribbon,Al10Ca60Ga30
Ribbon,Al20Ca60Ga20
Ribbon,Al30Ca60Ga10
Ribbon,Al40Ca60Ga0
Ribbon,Al15Ca70Mg15
Ribbon,Al22.5Ca70Mg7.5
Ribbon,Al30Ca70Mg0
Ribbon,Al85Ca10Mg5
Ribbon,Al89Ca11Mg0
Ribbon,Al90Ca10Mg0
Ribbon,Al91Ca9Mg0
Ribbon,Al20Ca10Mg70
Ribbon,Al87.5Ca7.5Ni5
Ribbon,Al90Ca7.5Ni2.5
Ribbon,Al89Ca11Ni0
Ribbon,Al91Ca9Ni0
NR,Al87.5Ca10Ni2.5
NR,Al90Ca0Ni10
NR,Al92.5Ca2.5Ni5
NR,Al92.5Ca7.5Ni0
NR,Al80Ca10Ni10
NR,Al85Ca5Ni10
NR,Al87.5Ca2.5Ni10
NR,Al88.75Ca1.25Ni10
NR,Al90Ca5Ni5
Ribbon,Al85Ca10Zn5
Ribbon,Al89Ca11Zn0
Ribbon,Al90Ca10Zn0
Ribbon,Al91Ca9Zn0
Ribbon,Al80Ce5Co15
Ribbon,Al80Ce10Co10
Ribbon,Al83Ce5Co12
Ribbon,Al85Ce5Co10
Ribbon,Al85Ce10Co5
Ribbon,Al87Ce8Co5
Ribbon,Al88Ce2Co10
Ribbon,Al88Ce10Co2
Ribbon,Al90Ce3Co7
Ribbon,Al90Ce5Co5
Ribbon,Al90Ce10Co0
Ribbon,Al91Ce9Co0
Ribbon,Al92Ce8Co0
Ribbon,Al93Ce7Co0
NR,Al88Ce12Co0
NR,Al89Ce11Co0
NR,Al75Ce5Co20
NR,Al75Ce10Co15
NR,Al75Ce15Co10
NR,Al77Ce10Co13
NR,Al80Ce15Co5
NR,Al87Ce13Co0
NR,Al90Ce0Co10
NR,Al94Ce4Co2
NR,Al94Ce6Co0
NR,Al95Ce2Co3
Ribbon,Al85Ce10Cr5
Ribbon,Al87Ce10Cr3
Ribbon,Al90Ce10Cr0
Ribbon,Al91Ce9Cr0
Ribbon,Al92Ce8Cr0
Ribbon,Al93Ce7Cr0
Ribbon,Al88Ce12Cr0
NR,Al89Ce8Cr3
NR,Al89Ce11Cr0
NR,Al80Ce10Cr10
NR,Al80Ce15Cr5
NR,Al83Ce10Cr7
NR,Al87Ce8Cr5
NR,Al87Ce13Cr0
NR,Al94Ce6Cr0
NR,Al93Ce2Cr5
NR,Al94Ce2Cr4
Ribbon,Al75Ce10Cu15
Ribbon,Al80Ce5Cu15
Ribbon,Al80Ce10Cu10
Ribbon,Al83Ce7Cu10
Ribbon,Al85Ce5Cu10
Ribbon,Al85Ce10Cu5
Ribbon,Al87Ce8Cu5
Ribbon,Al88Ce10Cu2
Ribbon,Al90Ce10Cu0
Ribbon,Al91Ce9Cu0
Ribbon,Al92Ce8Cu0
Ribbon,Al93Ce7Cu0
Ribbon,Al6Ce10Cu84
Ribbon,Al8Ce8Cu84
Ribbon,Al8Ce10Cu82
Ribbon,Al10Ce8Cu82
Ribbon,Al12Ce8Cu80
NR,Al88Ce5Cu7
NR,Al88Ce12Cu0
NR,Al89Ce11Cu0
NR,Al90Ce5Cu5
NR,Al2Ce8Cu90
NR,Al2Ce10Cu88
NR,Al4Ce8Cu88
NR,Al4Ce10Cu86
NR,Al6Ce6Cu88
NR,Al6Ce8Cu86
NR,Al8Ce6Cu86
NR,Al10Ce4Cu86
NR,Al10Ce6Cu84
NR,Al70Ce10Cu20
NR,Al70Ce15Cu15
NR,Al75Ce5Cu20
NR,Al75Ce15Cu10
NR,Al80Ce15Cu5
NR,Al83Ce2Cu15
NR,Al87Ce13Cu0
NR,Al88Ce2Cu10
NR,Al94Ce6Cu0
NR,Al2Ce6Cu92
NR,Al4Ce4Cu92
NR,Al6Ce4Cu90
NR,Al10Ce2Cu88
NR,Al10Ce10Cu80
NR,Al12Ce6Cu82
NR,Al12Ce10Cu78
NR,Al14Ce6Cu80
NR,Al14Ce8Cu78
NR,Al14Ce10Cu76
Ribbon,Al80Ce10Fe10
Ribbon,Al83Ce7Fe10
Ribbon,Al85Ce5Fe10
Ribbon,Al85Ce10Fe5
Ribbon,Al87Ce8Fe5
Ribbon,Al88Ce2Fe10
Ribbon,Al88Ce10Fe2
Ribbon,Al90Ce3Fe7
Ribbon,Al90Ce10Fe0
Ribbon,Al91Ce9Fe0
Ribbon,Al92Ce8Fe0
Ribbon,Al93Ce7Fe0
Ribbon,Al90Ce5Fe5
NR,Al75Ce15Fe10
NR,Al88Ce12Fe0
NR,Al89Ce11Fe0
NR,Al75Ce10Fe15
NR,Al80Ce15Fe5
NR,Al84Ce2Fe14
NR,Al87Ce13Fe0
NR,Al89Ce1Fe10
NR,Al94Ce4Fe2
NR,Al94Ce6Fe0
Ribbon,Al85Ce10Mn5
Ribbon,Al86Ce10Mn4
Ribbon,Al88Ce10Mn2
Ribbon,Al90Ce10Mn0
Ribbon,Al91Ce9Mn0
Ribbon,Al92Ce8Mn0
Ribbon,Al93Ce7Mn0
NR,Al83Ce10Mn7
NR,Al87Ce8Mn5
NR,Al88Ce12Mn0
NR,Al89Ce6Mn5
NR,Al89Ce11Mn0
NR,Al80Ce10Mn10
NR,Al85Ce5Mn10
NR,Al87Ce13Mn0
NR,Al88Ce2Mn10
NR,Al94Ce6Mn0
NR,Al93Ce2Mn5
NR,Al94Ce2Mn4
Ribbon,Al80Ce10Nb10
Ribbon,Al83Ce7Nb10
Ribbon,Al85Ce10Nb5
Ribbon,Al87Ce8Nb5
Ribbon,Al88Ce10Nb2
Ribbon,Al90Ce8Nb2
Ribbon,Al90Ce10Nb0
Ribbon,Al91Ce9Nb0
Ribbon,Al92Ce6Nb2
Ribbon,Al92Ce8Nb0
Ribbon,Al93Ce7Nb0
NR,Al77Ce10Nb13
NR,Al88Ce12Nb0
NR,Al89Ce11Nb0
NR,Al75Ce15Nb10
NR,Al80Ce15Nb5
NR,Al85Ce5Nb10
NR,Al87Ce13Nb0
NR,Al90Ce5Nb5
NR,Al94Ce6Nb0
Ribbon,Al60Ce10Ni30
Ribbon,Al65Ce5Ni30
Ribbon,Al85Ce6Ni9
Ribbon,Al87Ce6Ni7
Ribbon,Al88Ce2Ni10
Ribbon,Al92Ce8Ni0
NR,Al90Ce0Ni10
NR,Al94Ce6Ni0
Ribbon,Al61Ce10Ni29
Ribbon,Al65Ce15Ni20
Ribbon,Al70Ce15Ni15
Ribbon,Al75Ce10Ni15
Ribbon,Al80Ce5Ni15
Ribbon,Al82Ce8Ni10
Ribbon,Al86Ce4Ni10
Ribbon,Al87Ce5Ni8
Ribbon,Al89Ce10Ni1
NR,Al70Ce20Ni10
NR,Al90Ce5Ni5
NR,Al60Ce20Ni20
NR,Al95Ce5Ni0
Ribbon,Al25Ce55Ni20
Ribbon,Al91Ce5Ni4
Ribbon,Al88Ce10V2
Ribbon,Al90Ce10V0
Ribbon,Al91Ce9V0
Ribbon,Al92Ce8V0
Ribbon,Al93Ce7V0
NR,Al88Ce8V4
NR,Al88Ce12V0
NR,Al89Ce6V5
NR,Al89Ce11V0
NR,Al80Ce10V10
NR,Al85Ce10V5
NR,Al85Ce13V2
NR,Al87Ce13V0
NR,Al94Ce6V0
NR,Al94Ce2V4
Ribbon,Al87Co11Fe2
NR,Al86Co14Fe0
NR,Al87Co9Fe4
NR,Al88Co8Fe4
NR,Al88Co10Fe2
NR,Al88Co12Fe0
NR,Al90Co0Fe10
NR,Al90Co2Fe8
NR,Al90Co4Fe6
NR,Al90Co6Fe4
NR,Al90Co8Fe2
NR,Al90Co10Fe0
NR,Al92Co0Fe8
NR,Al92Co2Fe6
NR,Al92Co4Fe4
NR,Al92Co6Fe2
NR,Al92Co8Fe0
NR,Al94Co0Fe6
NR,Al94Co2Fe4
NR,Al94Co4Fe2
NR,Al94Co6Fe0
NR,Al96Co0Fe4
NR,Al96Co2Fe2
NR,Al96Co4Fe0
NR,Al98Co0Fe2
NR,Al98Co2Fe0
NR,Al100Co0Fe0
NR,Al84Co12Fe4
NR,Al84Co14Fe2
NR,Al86Co4Fe10
NR,Al86Co6Fe8
NR,Al86Co8Fe6
NR,Al86Co10Fe4
NR,Al88Co0Fe12
Ribbon,Al42Co10Ge48
Ribbon,Al57Co18Ge25
Ribbon,Al69Co6Ge25
Ribbon,Al78Co10Ge12
Ribbon,Al25Co20La55
NR,Al88Co8Mn4
NR,Al88Co10Mn2
NR,Al88Co12Mn0
NR,Al90Co6Mn4
NR,Al90Co8Mn2
NR,Al90Co10Mn0
NR,Al92Co4Mn4
NR,Al92Co6Mn2
NR,Al92Co8Mn0
NR,Al94Co4Mn2
NR,Al94Co6Mn0
NR,Al94Co0Mn6
NR,Al94Co2Mn4
NR,Al96Co0Mn4
NR,Al96Co2Mn2
NR,Al96Co4Mn0
NR,Al98Co0Mn2
NR,Al98Co2Mn0
NR,Al100Co0Mn0
NR,Al84Co12Mn4
NR,Al84Co14Mn2
NR,Al86Co8Mn6
NR,Al86Co10Mn4
NR,Al86Co12Mn2
NR,Al86Co14Mn0
NR,Al88Co6Mn6
NR,Al90Co2Mn8
NR,Al90Co4Mn6
NR,Al92Co0Mn8
NR,Al92Co2Mn6
Ribbon,Al87Co2Ni11
Ribbon,Al49Co10Si41
Ribbon,Al52Co23Si25
Ribbon,Al71Co4Si25
Ribbon,Al75Co10Si15
Ribbon,Al0Co90Zr10
Ribbon,Al2Co88Zr10
Ribbon,Al5Co85Zr10
Ribbon,Al25Co20Zr55
Ribbon,Al38Cr10Ge52
Ribbon,Al61Cr10Ge29
Ribbon,Al60Cr10Ge30
NR,Al65Cr20Ge15
Ribbon,Al25Cr20La55
Ribbon,Al52Cr10Si38
Ribbon,Al58Cr17Si25
Ribbon,Al68Cr10Si22
Ribbon,Al71Cr4Si25
Ribbon,Al50Cr15Si35
Ribbon,Al55Cr10Si35
Ribbon,Al55Cr15Si30
Ribbon,Al60Cr10Si30
Ribbon,Al60Cr15Si25
Ribbon,Al65Cr10Si25
NR,Al59Cr19Si22
NR,Al60Cr18Si22
NR,Al60Cr20Si20
NR,Al61Cr21Si18
NR,Al62Cr19Si19
NR,Al63Cr19Si18
NR,Al84Cr16Si0
NR,Al85Cr15Si0
NR,Al86Cr14Si0
NR,Al45Cr20Si35
NR,Al55Cr20Si25
NR,Al55Cr25Si20
NR,Al57Cr23Si20
NR,Al57Cr28Si15
NR,Al60Cr5Si35
NR,Al60Cr30Si10
NR,Al65Cr25Si10
NR,Al70Cr5Si25
NR,Al70Cr25Si5
NR,Al75Cr5Si20
NR,Al80Cr5Si15
NR,Al80Cr20Si0
NR,Al81Cr19Si0
NR,Al83Cr17Si0
NR,Al96Cr4Si0
NR,Al45Cr15Si40
NR,Al58Cr20Si22
NR,Al60Cr25Si15
NR,Al63Cr15Si22
NR,Al65Cr15Si20
NR,Al65Cr20Si15
NR,Al68Cr15Si17
NR,Al70Cr10Si20
NR,Al70Cr15Si15
NR,Al70Cr20Si10
NR,Al75Cr10Si15
NR,Al75Cr15Si10
NR,Al75Cr20Si5
NR,Al80Cr10Si10
NR,Al85Cr5Si10
NR,Al85Cr10Si5
NR,Al88Cr10Si2
NR,Al88Cr12Si0
NR,Al90Cr5Si5
NR,Al90Cr10Si0
NR,Al92Cr8Si0
NR,Al94Cr6Si0
Ribbon,Al20Cr10Zr70
NR,Al75Ce20Fe5
NR,Al77Ce18Fe5
NR,Al64Ce23Fe13
NR,Al67Ce18Fe15
NR,Al71Ce17Fe12
NR,Al60Ce20Fe20
NR,Al65Ce15Fe20
NR,Al60Ce23Fe17
NR,Al60Ce25Fe15
NR,Al65Ce25Fe10
NR,Al70Ce10Fe20
NR,Al70Ce15Fe15
NR,Al70Ce20Fe10
NR,Al62.5Ce25Fe12.5
NR,Al62.5Ce25.5Fe12
Ribbon,Al65Cu20Gd15
Ribbon,Al10Cu25Hf65
Ribbon,Al10Cu30La60
Ribbon,Al15Cu25La60
Ribbon,Al20Cu0La80
Ribbon,Al20Cu20La60
Ribbon,Al20Cu25La55
Ribbon,Al20Cu40La40
Ribbon,Al20Cu50La30
Ribbon,Al25Cu10La65
Ribbon,Al25Cu15La60
Ribbon,Al25Cu25La50
Ribbon,Al25Cu35La40
Ribbon,Al30Cu0La70
Ribbon,Al30Cu10La60
Ribbon,Al30Cu15La55
Ribbon,Al30Cu20La50
Ribbon,Al30Cu35La35
Ribbon,Al30Cu40La30
Ribbon,Al35Cu10La55
Ribbon,Al35Cu15La50
Ribbon,Al40Cu0La60
Ribbon,Al50Cu0La50
Ribbon,Al85Cu5La10
Ribbon,Al90Cu0La10
Ribbon,Al90Cu5La5
NR,Al10Cu20La70
NR,Al20Cu10La70
NR,Al20Cu60La20
NR,Al40Cu10La50
NR,Al40Cu20La40
NR,Al85Cu10La5
NR,Al0Cu20La80
NR,Al0Cu40La60
NR,Al0Cu50La50
NR,Al10Cu0La90
NR,Al10Cu10La80
NR,Al10Cu50La40
NR,Al10Cu60La30
NR,Al10Cu70La20
NR,Al10Cu80La10
NR,Al30Cu50La20
NR,Al30Cu60La10
NR,Al40Cu30La30
NR,Al40Cu40La20
NR,Al50Cu10La40
NR,Al50Cu20La30
NR,Al50Cu30La20
NR,Al50Cu40La10
NR,Al60Cu0La40
NR,Al70Cu0La30
NR,Al70Cu20La10
NR,Al80Cu0La20
NR,Al80Cu10La10
NR,Al25Cu50Mn25
NR,Al65Cu20Mn15
NR,Al76Cu8.5Mn15.5
Ribbon,Al6Cu84Nd10
Ribbon,Al6Cu86Nd8
Ribbon,Al8Cu84Nd8
Ribbon,Al10Cu82Nd8
Ribbon,Al12Cu80Nd8
NR,Al2Cu88Nd10
NR,Al2Cu90Nd8
NR,Al2Cu92Nd6
NR,Al4Cu86Nd10
NR,Al4Cu88Nd8
NR,Al4Cu90Nd6
NR,Al6Cu88Nd6
NR,Al8Cu86Nd6
NR,Al10Cu84Nd6
NR,Al10Cu86Nd4
NR,Al12Cu82Nd6
NR,Al12Cu84Nd4
NR,Al4Cu92Nd4
NR,Al8Cu82Nd10
NR,Al8Cu88Nd4
NR,Al10Cu80Nd10
NR,Al10Cu88Nd2
NR,Al12Cu78Nd10
NR,Al14Cu76Nd10
NR,Al14Cu78Nd8
NR,Al14Cu80Nd6
NR,Al14Cu82Nd4
Ribbon,Al0Cu35Ti65
Ribbon,Al0Cu45Ti55
Ribbon,Al0Cu50Ti50
Ribbon,Al0Cu55Ti45
Ribbon,Al0Cu60Ti40
Ribbon,Al0Cu73Ti27
Ribbon,Al0Cu75Ti25
Ribbon,Al5Cu50Ti45
Ribbon,Al5Cu55Ti40
Ribbon,Al5Cu60Ti35
Ribbon,Al10Cu35Ti55
Ribbon,Al10Cu60Ti30
Ribbon,Al15Cu25Ti60
Ribbon,Al15Cu30Ti55
Ribbon,Al15Cu35Ti50
Ribbon,Al15Cu40Ti45
Ribbon,Al15Cu50Ti35
Ribbon,Al15Cu60Ti25
Ribbon,Al20Cu30Ti50
Ribbon,Al20Cu35Ti45
Ribbon,Al20Cu50Ti30
Ribbon,Al20Cu60Ti20
Ribbon,Al25Cu35Ti40
Ribbon,Al25Cu50Ti25
Ribbon,Al25Cu55Ti20
Ribbon,Al30Cu50Ti20
Ribbon,Al35Cu50Ti15
Ribbon,Al40Cu50Ti10
Ribbon,Al50Cu40Ti10
Ribbon,Al50Cu45Ti5
Ribbon,Al55Cu40Ti5
NR,Al0Cu30Ti70
NR,Al0Cu80Ti20
NR,Al10Cu70Ti20
NR,Al20Cu20Ti60
NR,Al25Cu25Ti50
NR,Al25Cu30Ti45
NR,Al30Cu20Ti50
NR,Al30Cu30Ti40
NR,Al30Cu40Ti30
NR,Al35Cu40Ti25
NR,Al35Cu45Ti20
NR,Al40Cu30Ti30
NR,Al40Cu40Ti20
NR,Al45Cu35Ti20
NR,Al45Cu40Ti15
NR,Al55Cu35Ti10
NR,Al60Cu35Ti5
NR,Al0Cu10Ti90
NR,Al0Cu20Ti80
NR,Al10Cu0Ti90
NR,Al10Cu10Ti80
NR,Al10Cu20Ti70
NR,Al20Cu0Ti80
NR,Al20Cu10Ti70
NR,Al20Cu70Ti10
NR,Al25Cu0Ti75
NR,Al25Cu5Ti70
NR,Al30Cu0Ti70
NR,Al30Cu10Ti60
NR,Al35Cu0Ti65
NR,Al35Cu5Ti60
NR,Al40Cu0Ti60
NR,Al40Cu10Ti50
NR,Al40Cu20Ti40
NR,Al40Cu60Ti0
NR,Al45Cu0Ti55
NR,Al45Cu5Ti50
NR,Al45Cu10Ti45
NR,Al45Cu20Ti35
NR,Al50Cu5Ti45
NR,Al50Cu10Ti40
NR,Al50Cu20Ti30
NR,Al50Cu30Ti20
NR,Al50Cu50Ti0
NR,Al55Cu0Ti45
NR,Al55Cu10Ti35
NR,Al60Cu0Ti40
NR,Al60Cu5Ti35
NR,Al60Cu10Ti30
NR,Al60Cu20Ti20
